"ResourceId","ResourceType","ResourceLocation","ResourceGroupName","ServiceName","ServiceTier","Meter","Tags","CostUSD","Cost","Currency"
"/subscriptions/0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68/resourcegroups/ceaec_group/providers/microsoft.operationalinsights/workspaces/ceaecwspace","microsoft.operationalinsights/workspaces","BR South","ceaec_group","Log Analytics","","Pay-as-you-go Data Ingestion","","0","0","BRL"
"/subscriptions/0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68/resourcegroups/ceaec_group/providers/microsoft.storage/storageaccounts/ceaecgroupdiag","microsoft.storage/storageaccounts","US East","ceaec_group","Storage","General Block Blob","Read Operations","","0.00000280125","0.0000152388","BRL"
"/subscriptions/0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68/resourcegroups/ceaec_group/providers/microsoft.storage/storageaccounts/ceaecgroupdiag","microsoft.storage/storageaccounts","US East","ceaec_group","Storage","Tables","Batch Write Operations","","0.00006733125","0.000366282","BRL"
"/subscriptions/0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68/resourcegroups/ceaec_group/providers/microsoft.storage/storageaccounts/ceaecgroupdiag498","microsoft.storage/storageaccounts","BR South","ceaec_group","Storage","General Block Blob","Read Operations","","0.00000293625","0.0000159732","BRL"
"/subscriptions/0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68/resourcegroups/ceaec_group/providers/microsoft.storage/storageaccounts/ceaecgroupdiag498","microsoft.storage/storageaccounts","BR South","ceaec_group","Storage","Tables","Batch Write Operations","","0.00006787125","0.0003692196","BRL"
"/subscriptions/0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68/resourcegroups/ceaec_group/providers/microsoft.storage/storageaccounts/ceaecgroupdiag498","microsoft.storage/storageaccounts","BR South","ceaec_group","Storage","Tables","LRS Data Stored","","0.000112601435297","0.000612551808","BRL"
"/subscriptions/0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68/resourcegroups/cloud-shell-storage-eastus/providers/microsoft.storage/storageaccounts/cs210033fffad70b971","microsoft.storage/storageaccounts","US East","cloud-shell-storage-eastus","Storage","Files","LRS Data Stored","ms-resource-usage:azure-cloud-shell","0.124045992","0.67481019648","BRL"
"/subscriptions/0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68/resourcegroups/cloud-shell-storage-eastus/providers/microsoft.storage/storageaccounts/cs210033fffad70b971","microsoft.storage/storageaccounts","US East","cloud-shell-storage-eastus","Storage","Tables","Batch Write Operations","ms-resource-usage:azure-cloud-shell","0.00006780375","0.0003688524","BRL"
"/subscriptions/0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68/resourcegroups/cloud-shell-storage-eastus/providers/microsoft.storage/storageaccounts/cs210033fffad70b971","microsoft.storage/storageaccounts","US East","cloud-shell-storage-eastus","Storage","Tables","LRS Data Stored","ms-resource-usage:azure-cloud-shell","0.000083066602946","0.00045188232","BRL"
"/subscriptions/0b1856f5-ffb1-4fb2-9b31-ebc3ddeacf68/resourcegroups/cloud-shell-storage-eastus/providers/microsoft.storage/storageaccounts/cs210033fffad70b971","microsoft.storage/storageaccounts","US East","cloud-shell-storage-eastus","Storage","Tiered Block Blob","All Other Operations","ms-resource-usage:azure-cloud-shell","0.000031140257351","0.000169403","BRL"
