SubscriptionName,SubscriptionGuid,Date,ResourceGuid,ServiceName,ServiceType,ServiceRegion,ServiceResource,Quantity,Cost
Microsoft Azure Sponsorship,e567a9da-afce-49f1-86e3-86f976ff5fcf,4/12/2024,01caecf8-c1e4-4885-8c13-3292721482fe,Azure App Service,Basic Plan,BR South,B1 App,24,2.196
Microsoft Azure Sponsorship,e567a9da-afce-49f1-86e3-86f976ff5fcf,4/13/2024,01caecf8-c1e4-4885-8c13-3292721482fe,Azure App Service,Basic Plan,BR South,B1 App,24,2.196
Microsoft Azure Sponsorship,e567a9da-afce-49f1-86e3-86f976ff5fcf,4/14/2024,01caecf8-c1e4-4885-8c13-3292721482fe,Azure App Service,Basic Plan,BR South,B1 App,24,2.196
Microsoft Azure Sponsorship,e567a9da-afce-49f1-86e3-86f976ff5fcf,4/15/2024,01caecf8-c1e4-4885-8c13-3292721482fe,Azure App Service,Basic Plan,BR South,B1 App,24,2.196
Microsoft Azure Sponsorship,e567a9da-afce-49f1-86e3-86f976ff5fcf,4/16/2024,01caecf8-c1e4-4885-8c13-3292721482fe,Azure App Service,Basic Plan,BR South,B1 App,24,2.196
Microsoft Azure Sponsorship,e567a9da-afce-49f1-86e3-86f976ff5fcf,4/17/2024,01caecf8-c1e4-4885-8c13-3292721482fe,Azure App Service,Basic Plan,BR South,B1 App,24,2.196
Microsoft Azure Sponsorship,e567a9da-afce-49f1-86e3-86f976ff5fcf,4/18/2024,01caecf8-c1e4-4885-8c13-3292721482fe,Azure App Service,Basic Plan,BR South,B1 App,24,2.196
Microsoft Azure Sponsorship,e567a9da-afce-49f1-86e3-86f976ff5fcf,4/19/2024,01caecf8-c1e4-4885-8c13-3292721482fe,Azure App Service,Basic Plan,BR South,B1 App,24,2.196
Microsoft Azure Sponsorship,e567a9da-afce-49f1-86e3-86f976ff5fcf,4/20/2024,01caecf8-c1e4-4885-8c13-3292721482fe,Azure App Service,Basic Plan,BR South,B1 App,24,2.196
Microsoft Azure Sponsorship,e567a9da-afce-49f1-86e3-86f976ff5fcf,4/21/2024,01caecf8-c1e4-4885-8c13-3292721482fe,Azure App Service,Basic Plan,BR South,B1 App,24,2.196
